,Total no.,Doc no.,Dept.,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID,
,10,5,Computer Engineering,Dagher I.; Hanna P.,"Dagher, Issam (6603784732); Hanna, Patrick (57194556885)",6603784732; 57194556885,An improved watermarking algorithm using variable block image features,2017,"Proceedings - 2017 4th International Conference on Mathematics and Computers in Sciences and in Industry, MCSI 2017",2018-January,,,7,10,3,0,10.1109/MCSI.2017.10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049681524&doi=10.1109%2fMCSI.2017.10&partnerID=40&md5=d48acf13c1e0eb8a1273bac5a8bacc4d,Conference paper,Final,,Scopus,2-s2.0-85049681524,
,11,6,Computer Engineering,Georgiopoulos M.; Dagher I.; Heileman G.L.; Bebis G.,"Georgiopoulos, M. (7005656258); Dagher, I. (6603784732); Heileman, G.L. (7003795502); Bebis, G. (57204295991)",7005656258; 6603784732; 7003795502; 57204295991,Properties of learning of a Fuzzy ART Variant,1999,Neural Networks,12,6,,837,850,13,31,10.1016/S0893-6080(99)00031-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032797396&doi=10.1016%2fS0893-6080%2899%2900031-3&partnerID=40&md5=2cfc12e3901968bcdb3a79837a252e11,Article,Final,,Scopus,2-s2.0-0032797396,
,12,7,Computer Engineering,Dagher I.; Georgiopoulos M.; Heileman G.L.; Bebis G.,"Dagher, I. (6603784732); Georgiopoulos, M. (7005656258); Heileman, G.L. (7003795502); Bebis, G. (57204295991)",6603784732; 7005656258; 7003795502; 57204295991,Ordered Fuzzy ARTMAP: A Fuzzy ARTMAP algorithm with a fixed order of pattern presentation,1998,IEEE International Conference on Neural Networks - Conference Proceedings,3,,,1717,1721,4,8,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031624597&partnerID=40&md5=24fcfc29da93b64c16690789b2b9138c,Conference paper,Final,,Scopus,2-s2.0-0031624597,
,13,8,Computer Engineering,Dagher I.; Georgiopoulos M.; Heileman G.L.; Bebis G.,"Dagher, Issam (6603784732); Georgiopoulos, Michael (7005656258); Heileman, Gregory L. (7003795502); Bebis, George (57204295991)",6603784732; 7005656258; 7003795502; 57204295991,An ordering algorithm for pattern presentation in fuzzy ARTMAP that tends to improve generalization performance,1999,IEEE Transactions on Neural Networks,10,4,,768,778,10,86,10.1109/72.774217,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032657707&doi=10.1109%2f72.774217&partnerID=40&md5=43e78236fa0598504a95df2ae2cbd378,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-0032657707,
,14,9,Computer Engineering,Dagher I.; Abujamra S.,"Dagher, Issam (6603784732); Abujamra, Samir (57209505142)",6603784732; 57209505142,Combined wavelet and Gabor convolution neural networks,2019,"International Journal of Wavelets, Multiresolution and Information Processing",17,6,1950046,,,,7,10.1142/S0219691319500462,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067911198&doi=10.1142%2fS0219691319500462&partnerID=40&md5=abe5505fa6bdc2ec6ffff1fd774e6f09,Article,Final,,Scopus,2-s2.0-85067911198,
,15,10,Computer Engineering,Dagher I.; Saliba M.; Farah R.,"Dagher, Issam (6603784732); Saliba, Mireille (57203059532); Farah, Rachelle (57203065088)",6603784732; 57203059532; 57203065088,Hybrid DCT-HAAR block,2019,Multimedia Tools and Applications,78,12,,17265,17286,21,0,10.1007/s11042-018-7039-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059662200&doi=10.1007%2fs11042-018-7039-5&partnerID=40&md5=056f0ae64c34e7045f2ccec05daadafd,Article,Final,,Scopus,2-s2.0-85059662200,
,16,11,Computer Engineering,Dagher I.; Georgiopoulos M.; Heileman G.L.; Bebis G.,"Dagher, I. (6603784732); Georgiopoulos, M. (7005656258); Heileman, G.L. (7003795502); Bebis, G. (57204295991)",6603784732; 7005656258; 7003795502; 57204295991,Fuzzy ARTVar: An improved fuzzy ARTMAP algorithm,1998,IEEE International Conference on Neural Networks - Conference Proceedings,3,,,1688,1693,5,16,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031624595&partnerID=40&md5=e6cf14baaba6b45460fbcc00c1a31de6,Conference paper,Final,,Scopus,2-s2.0-0031624595,
,17,12,Computer Engineering,Dagher I.,"Dagher, I. (6603784732)",6603784732,Geometrical-based category choice fuzzy art architecture,2007,International Journal of Modelling and Simulation,27,2,,158,163,5,0,10.1080/02286203.2007.11442412,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547279370&doi=10.1080%2f02286203.2007.11442412&partnerID=40&md5=c0d4e221f6b21163dffaf4b5394924ee,Article,Final,,Scopus,2-s2.0-34547279370,
,18,13,Computer Engineering,Georgiopoulos M.; Dagher I.; Heileman G.L.; Bebis G.,"Georgiopoulos, M. (7005656258); Dagher, I. (6603784732); Heileman, G.L. (7003795502); Bebis, G. (57204295991)",7005656258; 6603784732; 7003795502; 57204295991,Properties of learning of a fuzzy ART variant,1997,IEEE International Conference on Neural Networks - Conference Proceedings,3,,614209,2012,2016,4,2,10.1109/ICNN.1997.614209,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030702531&doi=10.1109%2fICNN.1997.614209&partnerID=40&md5=84a670bfa58570842cad76e334627905,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-0030702531,
,19,14,Computer Engineering,Dagher I.; Badawi M.; Beyrouti B.,"Dagher, Issam (6603784732); Badawi, Mustafa (12546123500); Beyrouti, Bassam (12546221600)",6603784732; 12546123500; 12546221600,Ridge directional singular points for fingerprint recognition and matching,2006,Applied Stochastic Models in Business and Industry,22,1,,73,91,18,0,10.1002/asmb.611,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33144485206&doi=10.1002%2fasmb.611&partnerID=40&md5=db0f351e68d419c79bfcc5e5474afde4,Article,Final,,Scopus,2-s2.0-33144485206,
,20,15,Computer Engineering,Dagher I.,"Dagher, Issam (6603784732)",6603784732,A Comparative Study of the Category Choice of the Fuzzy Art with the L-1 Norm,2003,Proceedings of the International Joint Conference on Neural Networks,3,,,1969,1974,5,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141682862&partnerID=40&md5=d7ba4af495d2d08e26a6a78036536728,Conference paper,Final,,Scopus,2-s2.0-0141682862,
,21,16,Computer Engineering,Dagher I.; Hanna P.,"Dagher, I. (6603784732); Hanna, P. (57194556885)",6603784732; 57194556885,An improved watermarking algorithm using variable block image features,2017,Pattern Recognition and Image Analysis,27,2,,289,300,11,1,10.1134/S105466181702002X,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020833496&doi=10.1134%2fS105466181702002X&partnerID=40&md5=228770d99e582690d82d2db4a6020742,Article,Final,,Scopus,2-s2.0-85020833496,
,22,17,Computer Engineering,Dagher I.; Al-Bazzaz H.,"Dagher, Issam (6603784732); Al-Bazzaz, Hussein (57208783609)",6603784732; 57208783609,Improving the component-based face recognition using enhanced viola-jones and weighted voting technique,2019,Modelling and Simulation in Engineering,2019,,8234124,,,,6,10.1155/2019/8234124,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065769962&doi=10.1155%2f2019%2f8234124&partnerID=40&md5=6ed6dc1c6e814e8d722c6c800fe85f43,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85065769962,
,23,18,Computer Engineering,Dagher I.,"Dagher, Issam (6603784732)",6603784732,Fuzzy clustering using multiple Gaussian kernels with optimized-parameters,2018,Fuzzy Optimization and Decision Making,17,2,,159,176,17,8,10.1007/s10700-017-9268-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016996212&doi=10.1007%2fs10700-017-9268-x&partnerID=40&md5=bb111482d701335f0ca4ce72c33aff16,Article,Final,,Scopus,2-s2.0-85016996212,
,24,19,Computer Engineering,Dagher I.,"Dagher, Issam (6603784732)",6603784732,Fuzzy ART-based prototype classifier,2011,Computing (Vienna/New York),92,1,,49,63,14,1,10.1007/s00607-010-0130-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052676635&doi=10.1007%2fs00607-010-0130-z&partnerID=40&md5=d721a3f23d0aa8befc7227fe221b16d1,Article,Final,,Scopus,2-s2.0-80052676635,
,25,20,Computer Engineering,Dagher I.,"Dagher, Issam (6603784732)",6603784732,Art networks with geometrical distances,2006,Journal of Discrete Algorithms,4,4,,538,553,15,4,10.1016/j.jda.2005.06.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750619588&doi=10.1016%2fj.jda.2005.06.007&partnerID=40&md5=40a92a474a3cb06ca99d1f7efb419ed7,Article,Final,,Scopus,2-s2.0-33750619588,
,26,21,Computer Engineering,Dagher I.; Saliba M.; Farah R.,"Dagher, Issam (6603784732); Saliba, Mireille (57203059532); Farah, Rachelle (57203065088)",6603784732; 57203059532; 57203065088,Combined DCT-Haar transforms for image compression,2018,International Journal of Imaging Systems and Technology,28,4,,274,294,20,8,10.1002/ima.22286,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050379341&doi=10.1002%2fima.22286&partnerID=40&md5=ac9f5967c13355c65c0f44cc6767bb21,Article,Final,,Scopus,2-s2.0-85050379341,
,27,22,Computer Engineering,Dagher I.; Helwe W.; Yassine F.,"Dagher, I. (6603784732); Helwe, W. (56989988600); Yassine, F. (35792835700)",6603784732; 56989988600; 35792835700,Fingerprint recognition using fuzzy artmap neural network architecture,2002,"Proceedings of the International Conference on Microelectronics, ICM",2002-January,,1161519,157,160,3,2,10.1109/ICM-02.2002.1161519,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33144489602&doi=10.1109%2fICM-02.2002.1161519&partnerID=40&md5=31267587e3fbc749d0f11267ec32541a,Conference paper,Final,,Scopus,2-s2.0-33144489602,
,28,23,Computer Engineering,Dagher I.; Nachar R.,"Dagher, Issam (6603784732); Nachar, Rabih (56266974500)",6603784732; 56266974500,Face recognition using IPCA-ICA algorithm,2006,IEEE Transactions on Pattern Analysis and Machine Intelligence,28,6,,996,1000,4,104,10.1109/TPAMI.2006.118,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645981594&doi=10.1109%2fTPAMI.2006.118&partnerID=40&md5=f36cd9ca2592dcd876d86c49d1e6160c,Article,Final,,Scopus,2-s2.0-33645981594,
,29,24,Computer Engineering,Park Dong C.; Dagher Issam,"Park, Dong C. (60389985500); Dagher, Issam (6603784732)",60389985500; 6603784732,Gradient based fuzzy c_means (GBFCM) algorithm,1994,IEEE International Conference on Neural Networks - Conference Proceedings,3,,,1626,1631,5,56,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028733941&partnerID=40&md5=723abbf15e0da6775f06b17f2f8b7de9,Conference paper,Final,,Scopus,2-s2.0-0028733941,
,30,25,Computer Engineering,Dagher I.; Taleb C.,"Dagher, Issam (6603784732); Taleb, Catherine (55616702300)",6603784732; 55616702300,Image denoising using fourth order wiener filter with wavelet quadtree decomposition,2014,Journal of Electrical and Computer Engineering,,,108393,,,,8,10.1155/2014/108393,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896974422&doi=10.1155%2f2014%2f108393&partnerID=40&md5=1a7cb1e2ec74f97d15a3b0d31629f356,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-84896974422,
,31,26,Computer Engineering,Dagher I.,"Dagher, Issam (6603784732)",6603784732,G-Fuzzy ART: A geometrical fuzzy ART neural network architecture,2003,Proceedings of SPIE - The International Society for Optical Engineering,5102,,,104,113,9,0,10.1117/12.488160,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041324862&doi=10.1117%2f12.488160&partnerID=40&md5=a20730e0558755c66e63a7e45d5daa2f,Conference paper,Final,,Scopus,2-s2.0-0041324862,
,32,27,Computer Engineering,Dagher I.; Dahdah E.; Al Shakik M.,"Dagher, Issam (6603784732); Dahdah, Elio (57221939471); Al Shakik, Morshed (57221935930)",6603784732; 57221939471; 57221935930,Facial expression recognition using three-stage support vector machines,2019,"Visual Computing for Industry, Biomedicine, and Art",2,1,24,,,,40,10.1186/s42492-019-0034-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100622431&doi=10.1186%2fs42492-019-0034-5&partnerID=40&md5=01c174d28993a9c32cb70a0bd88e04a3,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85100622431,
,33,28,Computer Engineering,Dagher I.,"Dagher, Issam (6603784732)",6603784732,Feature descriptors using super-pixels as fuzzy numbers,2025,International Journal of Modelling and Simulation,45,4,,1340,1345,5,0,10.1080/02286203.2023.2274258,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174604474&doi=10.1080%2f02286203.2023.2274258&partnerID=40&md5=81e52c278d5e5b4637dcb52c60e511d6,Article,Final,,Scopus,2-s2.0-85174604474,
,34,29,Computer Engineering,Dagher I.; Azar F.,"Dagher, Issam (6603784732); Azar, Fady (57159379500)",6603784732; 57159379500,Improving the SVM gender classification accuracy using clustering and incremental learning,2019,Expert Systems,36,3,e12372,,,,16,10.1111/exsy.12372,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060328431&doi=10.1111%2fexsy.12372&partnerID=40&md5=7d31f9a65e6fbd9fe92e329e5012d9e4,Article,Final,,Scopus,2-s2.0-85060328431,
,35,30,Computer Engineering,Dagher I.; Taleb C.,"Dagher, Issam (6603784732); Taleb, Catherine (55616702300)",6603784732; 55616702300,Variable block wavelet wiener estimator in image denoising,2014,Proceedings of the Mediterranean Electrotechnical Conference - MELECON,,,6820581,479,483,4,0,10.1109/MELCON.2014.6820581,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904181557&doi=10.1109%2fMELCON.2014.6820581&partnerID=40&md5=fb449f458dd771198f2dea576a3b4217,Conference paper,Final,,Scopus,2-s2.0-84904181557,
,36,31,Computer Engineering,Dagher I.; Hassanieh J.; Younes A.,"Dagher, Issam (6603784732); Hassanieh, Jamal (56027564900); Younes, Ahmad (57197676963)",6603784732; 56027564900; 57197676963,Face recognition using voting technique for the Gabor and LDP features,2013,Proceedings of the International Joint Conference on Neural Networks,,,6707094,,,,3,10.1109/IJCNN.2013.6707094,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893525922&doi=10.1109%2fIJCNN.2013.6707094&partnerID=40&md5=fba12fc7f4f6b02f3fd2dedc076e4e66,Conference paper,Final,,Scopus,2-s2.0-84893525922,
,37,32,Computer Engineering,Dagher I.,"Dagher, Issam (6603784732)",6603784732,Complex fuzzy c-means algorithm,2012,Artificial Intelligence Review,38,1,,25,39,14,6,10.1007/s10462-011-9239-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861195480&doi=10.1007%2fs10462-011-9239-5&partnerID=40&md5=db3937351a162ac295e6715147ee898c,Review,Final,,Scopus,2-s2.0-84861195480,
,38,33,Computer Engineering,Dagher I.; Kobersy W.; Abi Nader W.,"Dagher, Issam (6603784732); Kobersy, William (16233695900); Abi Nader, Wassim (16232498700)",6603784732; 16233695900; 16232498700,Human hand recognition using IPCA-ICA algorithm,2007,Eurasip Journal on Advances in Signal Processing,2007,,91467,,,,12,10.1155/2007/91467,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247273108&doi=10.1155%2f2007%2f91467&partnerID=40&md5=5d5a9d3e82ff9490800b4814f5302fc9,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-34247273108,
,39,34,Computer Engineering,Dagher I.; Antoun R.,"Dagher, Issam (6603784732); Antoun, Rima (57193625961)",6603784732; 57193625961,Different PCA scenarios for email filtering,2016,International Journal of Computers and Applications,38,1,,41,54,13,0,10.1080/1206212X.2016.1218237,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015302338&doi=10.1080%2f1206212X.2016.1218237&partnerID=40&md5=f3234b24883401c56e91b62b64c0d377,Article,Final,,Scopus,2-s2.0-85015302338,
,40,35,Computer Engineering,Dagher I.,"Dagher, Issam (6603784732)",6603784732,Art-based prototype classifier,2005,"Proceedings of the 9th IASTED International Conference on Artificial Intelligence and Soft Computing, ASC 2005",,,,336,339,3,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887242817&partnerID=40&md5=ea958b13880e63ed77894592fed08913,Conference paper,Final,,Scopus,2-s2.0-84887242817,
,41,36,Computer Engineering,Dagher I.; Tom K.E.,"Dagher, Issam (6603784732); Tom, Kamal El (23026189300)",6603784732; 23026189300,WaterBalloons: A hybrid watershed Balloon Snake segmentation,2008,Image and Vision Computing,26,7,,905,912,7,49,10.1016/j.imavis.2007.10.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-42249084889&doi=10.1016%2fj.imavis.2007.10.010&partnerID=40&md5=9f22547073d1bca5e2924346c31ba798,Article,Final,,Scopus,2-s2.0-42249084889,
,42,37,Computer Engineering,Dagher I.; Barbara D.,"Dagher, Issam (6603784732); Barbara, Dany (57222314167)",6603784732; 57222314167,Facial age estimation using pre-trained CNN and transfer learning,2021,Multimedia Tools and Applications,80,13,,20369,20380,11,34,10.1007/s11042-021-10739-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102298593&doi=10.1007%2fs11042-021-10739-w&partnerID=40&md5=14ec7c721ecbbd9edfd9d73b9e4a46fa,Article,Final,,Scopus,2-s2.0-85102298593,
,43,38,Computer Engineering,Dagher I.; Abboud E.,"Dagher, Issam (6603784732); Abboud, Elie (59263067800)",6603784732; 59263067800,Combining contour-based and region-based in image segmentation,2024,F1000Research,12,,1312,,,,1,10.12688/f1000research.140872.3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201431609&doi=10.12688%2ff1000research.140872.3&partnerID=40&md5=8bea698ff354ef8ac4812098bd82a933,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85201431609,
,44,39,Computer Engineering,Dagher I.; Taleb C.,"Dagher, Issam (6603784732); Taleb, Catherine (55616702300)",6603784732; 55616702300,Improved wavelet Wiener estimator in image denoising,2012,"2012 2nd International Conference on Advances in Computational Tools for Engineering Applications, ACTEA 2012",,,6462891,311,314,3,0,10.1109/ICTEA.2012.6462891,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874716698&doi=10.1109%2fICTEA.2012.6462891&partnerID=40&md5=70b305a0d4b22a401495c78c463aedd3,Conference paper,Final,,Scopus,2-s2.0-84874716698,
,45,40,Computer Engineering,Dagher I.,"Dagher, Issam (6603784732)",6603784732,Clustering with complex centers,2011,"Recent Researches in Artificial Intelligence, Knowledge Engineering and Data Bases - 10th WSEAS International Conference on Artificial Intelligence, Knowledge Engineering and Data Bases, AIKED'11",,,,140,144,4,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958709450&partnerID=40&md5=96cc916a050696948be078756a91e1d8,Conference paper,Final,,Scopus,2-s2.0-79958709450,
,46,41,Computer Engineering,Dagher I.,"Dagher, Issam (6603784732)",6603784732,L-p Fuzzy ARTMAP neural network architecture,2006,Soft Computing,10,8,,649,656,7,0,10.1007/s00500-005-0533-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645822109&doi=10.1007%2fs00500-005-0533-5&partnerID=40&md5=31a7d2b44774ce0ec291ddd83ffe152d,Article,Final,,Scopus,2-s2.0-33645822109,
,47,42,Computer Engineering,Dagher I.; Issa S.,"Dagher, Issam (6603784732); Issa, Saad (55327305500)",6603784732; 55327305500,Subband effect of the wavelet fuzzy C-means features in texture classification,2012,Image and Vision Computing,30,11,,896,905,9,10,10.1016/j.imavis.2012.07.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868556163&doi=10.1016%2fj.imavis.2012.07.007&partnerID=40&md5=e88a26d19e90b25ac43315469c31f61c,Article,Final,,Scopus,2-s2.0-84868556163,
,48,43,Computer Engineering,Dagher I.; Mikhael S.; Al-Khalil O.,"Dagher, Issam (6603784732); Mikhael, Sandy (57219222866); Al-Khalil, Oubaida (57219220769)",6603784732; 57219222866; 57219220769,Gabor face clustering using affinity propagation and structural similarity index,2021,Multimedia Tools and Applications,80,3,,4719,4727,8,10,10.1007/s11042-020-09822-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091787133&doi=10.1007%2fs11042-020-09822-5&partnerID=40&md5=2e1ba75bc4a17eaf2698547cb43d31b9,Article,Final,,Scopus,2-s2.0-85091787133,
,49,44,Computer Engineering,Dagher I.; Dahdah K.,"Dagher, I. (6603784732); Dahdah, K. (46760991700)",6603784732; 46760991700,Adaptive bandwidth mode detection algorithm,2011,IET Image Processing,5,8,,645,660,15,1,10.1049/iet-ipr.2010.0170,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960789194&doi=10.1049%2fiet-ipr.2010.0170&partnerID=40&md5=854b8d3ab47f33decb8dcd9290ea527f,Article,Final,,Scopus,2-s2.0-79960789194,
,50,45,Computer Engineering,Dagher I.,"Dagher, Issam (6603784732)",6603784732,Quadratic kernel-free non-linear support vector machine,2008,Journal of Global Optimization,41,1,,15,30,15,91,10.1007/s10898-007-9162-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-41549111453&doi=10.1007%2fs10898-007-9162-0&partnerID=40&md5=b044cce242bc6ace2fce9c1def281a5b,Article,Final,,Scopus,2-s2.0-41549111453,
